ASSET_CLASS,ASSET_CD,LOCATION_DETAIL,STEWARD,MAINTAINED_BY,MAINT_INFO,LIFE_CYCLE_STATUS,MGMT_NUM,ASSET_TYPE,TYPE_DESCRIPTION,MINORTYPE,MANUFACTURER,COUNT_BABY_SWING,COUNT_SR_SWING,COUNT_HANDICAP_SWING,COUNT_TIRE_SWING,COUNT_SAUCER_SWING,COUNT_PONY_SWING,INCLUSIVE,EQUIPMENT_AGE_CLASS,POINT
,ERI837,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,350837,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,,COMBINED,POINT (-113.972674 51.0196506)
,HUN628,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,150628,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,,JUNIOR,POINT (-114.0574537 51.1192701)
2024-01-29: MOVED TO PG EQUIPMENT AS PER A KOCHANCZYK. INFRASTRUCTIRE LEAD,NGM528,,CALGARY PARKS,CALGARY PARKS,SQUAT STATION; 2017/04/27: COMMUNITY ASSOCIATION INITATIVE,ACTIVE,,16,FITNESS EQUIPMENT,NO BREAKDOWN,,,,,,,,,,POINT (-114.1128824 50.9982412)
,ROY307,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,110307,15,SPRING TOY,VEHICLE,,,,,,,,,JUNIOR,POINT (-114.2165564 51.1454339)
,AUB207,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,,1,SWING,NO BREAKDOWN,,1,1,,,,,,COMBINED,POINT (-113.9678322 50.8905986)
2024-01-29: MOVED TO PG EQUIPMENT AS PER A KOCHANCZYK. INFRASTRUCTIRE LEAD,VAL076,,CALGARY PARKS,CALGARY PARKS,STEP UP FITNESS STATION; 2017/03/09:  SEE REPOSITORY FOR FURTHER INFO R:\AMENITIES\MISCELLANEOUSVAL076\FIT_PARK,ACTIVE,,16,FITNESS EQUIPMENT,NO BREAKDOWN,,,,,,,,,,POINT (-114.2474722 51.0912894)
,BVD006,,CALGARY PARKS,DEVELOPER CONSTRUCTION,,INSTALLED,,1,SWING,,,1,2,,,,,,,POINT (-113.9088657 51.0349378)
,COL371,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,130371,2,SLIDE,STRAIGHT SLIDE,BLUE IMP,,,,,,,NO,SENIOR,POINT (-114.099526 51.0824752)
,EVE917,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,330917,9,MULTI PLAY COMPLEX,NO BREAKDOWN,BLUE IMP,,,,,,,,SENIOR,POINT (-114.1231101 50.9230358)
,BRA079,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,310079,1,SWING,NO BREAKDOWN,,2,2,0,0,0,0,,COMBINED,POINT (-114.1038598 50.9520883)
XX ACR 2,SCE273,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,1,SWING,NO BREAKDOWN,LITTLE TIKES,0,2,0,0,0,0,NO,SENIOR,POINT (-114.2075152 51.1202564)
"XX ACR 3
BLACK PAINT ON PLAY PANEL 
SEE PICTURE",COR373,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,,SENIOR,POINT (-113.9245404 51.1086794)
,EVN272,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,110272,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,,JUNIOR,POINT (-114.107926 51.1713617)
,EDG050,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,170050,3,CLIMBER,HORIZONTAL CLIMBER,,,,,,,,,SENIOR,POINT (-114.1463453 51.1165324)
XX ACR 3,NOL001,,CALGARY PARKS,CALGARY PARKS,JUNIOR; NOT A CLIMBER,ACTIVE,,4,STATIONARY TOY,PLAY HOUSE,NOLAN,,,,,,,,JUNIOR,POINT (-114.1609637 51.1780216)
,WHI013,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,140013,1,SWING,NO BREAKDOWN,BLUE IMP,1,1,0,0,0,0,,SENIOR,POINT (-113.9760606 51.0832206)
,MAC757,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,170757,7,TEETER TOTTER SEESAW,FULCRUM,BLUE IMP,,,,,,,,SENIOR,POINT (-114.1150875 51.1376786)
,WAL021,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,3,CLIMBER,HORIZONTAL CLIMBER,,,,,,,,,,POINT (-114.0215895 50.8657251)
,CRA079,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,3,CLIMBER,RUBBER MOUND,,,,,,,,,,POINT (-113.9831717 50.8667163)
XX ACR 2,KEL006,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,3,CLIMBER,DOME NET OR WEB CLIMBER,,,,,,,,,SENIOR,POINT (-114.0874181 50.9870636)
METAL,WGT762,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,430762,3,CLIMBER,ARCHED CLIMBER,BLUE IMP,,,,,,,NO,SENIOR,POINT (-114.1579323 51.0443897)
2024-01-29: MOVED TO PG EQUIPMENT AS PER A KOCHANCZYK. INFRASTRUCTIRE LEAD,EDG055,,CALGARY PARKS,CALGARY PARKS,FITNESS HORIZONTAL LADDER,ACTIVE,,16,FITNESS EQUIPMENT,NO BREAKDOWN,,,,,,,,,,POINT (-114.1530245 51.1287541)
SWING OUT,PAN244,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,150244,5,SPINNING TOY,SPINNING POLE,,,,,,,,,SENIOR,POINT (-114.0996399 51.163878)
,DOV779,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,350779,15,SPRING TOY,ANIMAL,,,,,,,,,JUNIOR,POINT (-113.9918464 51.0173292)
,RIC850,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,430850,2,SLIDE,STRAIGHT SLIDE,BLUE IMP,,,,,,,NO,SENIOR,POINT (-114.1130107 51.0324761)
2024-01-29: MOVED TO PG EQUIPMENT AS PER A KOCHANCZYK. INFRASTRUCTIRE LEAD,EDG055,,CALGARY PARKS,CALGARY PARKS,FITNESS RINGS,ACTIVE,,16,FITNESS EQUIPMENT,NO BREAKDOWN,,,,,,,,,,POINT (-114.1529416 51.1286279)
,MAH004,,CALGARY PARKS,CALGARY PARKS,JUNIOR: CRAZY CUP SPINNER,ACTIVE,,5,SPINNING TOY,CUP BOWL OR TUB,,,,,,,,,JUNIOR,POINT (-113.925228 50.9048311)
,MID383,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,330383,1,SWING,NO BREAKDOWN,,2,2,0,0,0,0,,COMBINED,POINT (-114.0603872 50.9099734)
,WSP045,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,3,CLIMBER,DOME NET OR WEB CLIMBER,KOMPAN,,,,,,,NO,,POINT (-114.1931404 51.0538574)
,BOW210,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,120210,1,SWING,NO BREAKDOWN,,1,1,0,0,0,0,,COMBINED,POINT (-114.1777355 51.0804595)
"SHIP
XX ACR 2",DDG596,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,,SENIOR,POINT (-113.9912935 50.9456876)
,HID539,,CALGARY PARKS,CALGARY PARKS,AGES 18MONTHS TO 12 YEARS,ACTIVE,,1,SWING,NO BREAKDOWN,PARK N PLAY DESIGN CO LIMITED/GAME TIME,,,,,1,,YES,,POINT (-114.1017394 51.1492555)
2024-01-29: MOVED TO PG EQUIPMENT AS PER A KOCHANCZYK. INFRASTRUCTIRE LEAD,RSN014,,CALGARY PARKS,CALGARY PARKS,PILATES FLEXOR,ACTIVE,,16,FITNESS EQUIPMENT,NO BREAKDOWN,,,,,,,,,,POINT (-113.9584586 51.1708422)
"ACR 3, HORIZONTAL LADDER",CLI269,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,420269,3,CLIMBER,HORIZONTAL CLIMBER,BLUE IMP,,,,,,,,SENIOR,POINT (-114.0745167 51.0313299)
,SKR006,,CALGARY PARKS,CALGARY PARKS,JUNIOR; HORSE,ACTIVE,,15,SPRING TOY,MULTI BOUNCE,,,,,,,,,JUNIOR,POINT (-113.958398 51.1647935)
,TUS613,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,120613,1,SWING,NO BREAKDOWN,,1,1,0,0,0,0,,COMBINED,POINT (-114.2515744 51.1236718)
,BRI705,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,330705,9,MULTI PLAY COMPLEX,NO BREAKDOWN,ROMPERLAND,,,,,,,,SENIOR,POINT (-114.1089267 50.8970635)
,FAL089,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,1,SWING,,HENDERSON,1,1,,,,,,,POINT (-113.9387326 51.1086615)
MUSCLE BUILDER,TEM062,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,140062,3,CLIMBER,HORIZONTAL CLIMBER,,,,,,,,,SENIOR,POINT (-113.9501321 51.0900072)
,MRL517,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,360517,15,SPRING TOY,VEHICLE,,,,,,,,,JUNIOR,POINT (-113.9702524 51.0617161)
NO DAS AT TIME OF CAPTURE,RIV704,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,4,STATIONARY TOY,PLAY PANEL,GAME TIME,,,,,,,,,POINT (-114.0199498 50.9675368)
,MCT834,,CALGARY PARKS,CALGARY PARKS,ACTIVATOR: PRESTO; OAA EXPIRED 2023/02/21. NOW PARKS MAINTAINED,ACTIVE,,17,WATER PARK TOY,NO BREAKDOWN,,,,,,,,,,POINT (-113.9667172 50.9224334)
LEASE BOUNDARY CHANGE,GBK608,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,440608,15,SPRING TOY,VEHICLE,LITTLE TIKES,,,,,,,NO,JUNIOR,POINT (-114.1514967 51.0230992)
METAL,LKB451,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,320451,12,DIGGING TOY,NO BREAKDOWN,,,,,,,,,JUNIOR,POINT (-114.0399234 50.9463682)
,RAN020,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,110020,3,CLIMBER,HORIZONTAL CLIMBER,,,,,,,,,SENIOR,POINT (-114.1924636 51.1257038)
,RAN025,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,110025,1,SWING,NO BREAKDOWN,PARIS,0,0,0,2,0,0,NO,SENIOR,POINT (-114.190496 51.1192567)
,SKR401,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,,15,SPRING TOY,ANIMAL,,0,0,0,0,0,0,,JUNIOR,POINT (-113.966392 51.1599442)
MUSCLE BUILDER,VAR108,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,120108,3,CLIMBER,VERTICAL LADDER CLIMBER,BLUE IMP,,,,,,,,SENIOR,POINT (-114.1665128 51.0936078)
,CSC003,,CALGARY PARKS,CALGARY PARKS,CHIMES,ACTIVE,,4,STATIONARY TOY,PLAY PANEL,FREENOTES HARMONY,,,,,,,,,POINT (-113.9598688 51.1520685)
,BED596,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,150596,1,SWING,NO BREAKDOWN,,1,1,0,0,0,0,,COMBINED,POINT (-114.0958575 51.1277957)
XX ASSET IS A STATIONARY MUSHROOM TOY.,CRA002,,CALGARY PARKS,CALGARY PARKS,CUSTOM MUSHROOM SEAT,ACTIVE,,4,STATIONARY TOY,TO BE IDENTIFIED,HABITAT,,,,,,,,,POINT (-113.9863146 50.8745722)
,CPF014,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,,1,SWING,NO BREAKDOWN,,2,2,,,,,,COMBINED,POINT (-113.9169781 50.9151581)
,FAL088,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,3,CLIMBER,VERTICAL LADDER CLIMBER,,,,,,,,,SENIOR,POINT (-113.9427912 51.1071733)
,CPF862,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,340862,1,SWING,NO BREAKDOWN,BLUE IMP,1,1,0,0,0,0,,COMBINED,POINT (-113.9304103 50.9095183)
XX ACR 2,FAI202,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,,12,DIGGING TOY,NO BREAKDOWN,BLUE IMP,,,,,,,,JUNIOR,POINT (-114.0627509 50.9822705)
,RSN014,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,15,SPRING TOY,VEHICLE,,,,,,,,,,POINT (-113.9582191 51.1709967)
,DDG724,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,,1,SWING,NO BREAKDOWN,,2,2,0,0,0,0,,COMBINED,POINT (-114.0073064 50.953258)
,RAM415,,CALGARY PARKS,DEVELOPER CONSTRUCTION,,INSTALLED,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,NO,,POINT (-114.0438343 51.0404473)
,CAM883,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,130883,9,MULTI PLAY COMPLEX,NO BREAKDOWN,LITTLE TIKES,,,,,,,,COMBINED,POINT (-114.0864503 51.0851341)
,BED594,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,150594,7,TEETER TOTTER SEESAW,FULCRUM,,,,,,,,,SENIOR,POINT (-114.0877846 51.1261652)
,ALT645,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,,1,SWING,NO BREAKDOWN,LITTLE TIKES,2,2,0,0,0,0,NO,COMBINED,POINT (-114.0985589 51.0113548)
,MOP671,,CALGARY PARKS,CALGARY PARKS,FORT; SLIDE; NET CLIMBER,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,EARTHSCAPE,,,,,,,NO,,POINT (-114.0787513 51.0787955)
2024-01-29: MOVED TO PG EQUIPMENT AS PER A KOCHANCZYK. INFRASTRUCTIRE LEAD,NGM528,,CALGARY PARKS,CALGARY PARKS,MULTI-FIT; 2017/04/27: COMMUNITY ASSOCIATION INITATIVE,ACTIVE,,16,FITNESS EQUIPMENT,NO BREAKDOWN,,,,,,,,,,POINT (-114.1128959 50.9982165)
,ALT643,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,,1,SWING,NO BREAKDOWN,LITTLE TIKES,2,2,0,0,0,0,NO,COMBINED,POINT (-114.1016502 51.020447)
VIP,MID363,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,330363,9,MULTI PLAY COMPLEX,NO BREAKDOWN,BLUE IMP,,,,,,,,JUNIOR,POINT (-114.0637757 50.9187239)
,RIV884,,CALGARY PARKS,CALGARY PARKS,REFURBISHED,ACTIVE,,4,STATIONARY TOY,ANIMAL,,,,,,,,NO,,POINT (-114.0099123 50.9662584)
,SAD381,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,140381,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,,SENIOR,POINT (-113.9425259 51.1376955)
,ALT701,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,2,SLIDE,HILL,,,,,,,,,,POINT (-114.0893558 51.0097098)
,MCK563,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,340563,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,,SENIOR,POINT (-113.9804694 50.9036303)
METAL SPIRAL,TEM060,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,140060,2,SLIDE,SPIRAL SLIDE,,,,,,,,,SENIOR,POINT (-113.9568042 51.0886583)
,GAW630,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,440630,5,SPINNING TOY,FLAT DISC OR MERRY GO ROUND,PLAYWORLD,,,,,,,NO,JUNIOR,POINT (-114.1119837 51.0124918)
,BRD899,,CALGARY PARKS,CALGARY PARKS SHARED,FREE RIDER SWING,ACTIVE,,1,SWING,NO BREAKDOWN,"MIRACLE RECREATION, CANDIAN RECREATION SOLUTIONS",,1,,,,,,,POINT (-114.0487418 51.0507766)
,RIV844,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,1,SWING,NO BREAKDOWN,LITTLE TYKES,1,3,,,,,,,POINT (-114.0193108 50.9755467)
,WAL006,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,,5,SPINNING TOY,SPINNING POLE,,0,0,0,0,0,0,,JUNIOR,POINT (-114.0306845 50.8755165)
"INSTALL DT BASED ON RULES DEVELOPED 2016/05/17-SEE GIS MANUAL-INSTALL_DT ATTRIBUTES SECTION;DUCK
XX ACR 2",CPF864,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,,15,SPRING TOY,ANIMAL,,,,,,,,,JUNIOR,POINT (-113.9318462 50.9147535)
,PAL055,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,310055,1,SWING,NO BREAKDOWN,,2,0,0,0,0,0,,JUNIOR,POINT (-114.1132021 50.9711601)
,SAN645,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR; PLAY PANEL PUZZLE BOX,ACTIVE,150645,4,STATIONARY TOY,PLAY PANEL,,,,,,,,,COMBINED,POINT (-114.1041117 51.1339592)
ADVENTURE SHIP,MRT110,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,140110,9,MULTI PLAY COMPLEX,NO BREAKDOWN,LANDSCAPE STRUCTURES,,,,,,,,SENIOR,POINT (-113.9674246 51.1188635)
METAL,SOV766,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,360766,9,MULTI PLAY COMPLEX,NO BREAKDOWN,BLUE IMP,,,,,,,,COMBINED,POINT (-113.9918918 51.0353242)
XX ACR 2,HPK821,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,,1,SWING,NO BREAKDOWN,,1,1,,,,,,COMBINED,POINT (-114.065494 51.0907826)
XX ACR 2,DRG544,,CALGARY PARKS,CALGARY PARKS,SENIOR; CRAZY CUP,ACTIVE,,5,SPINNING TOY,CUP BOWL OR TUB,BLUE IMP,,,,,,,,SENIOR,POINT (-114.0182013 50.9262433)
,REN783,425 EDWARD ST NE,CALGARY PARKS,CALGARY PARKS,BONGOS PLAY PANEL,ACTIVE,,4,STATIONARY TOY,PLAY PANEL,HENDERSON,,,,,,,,,POINT (-114.0300654 51.0563654)
,CIT967,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,BLUE IMP,,,,,,,NO,,POINT (-114.1794702 51.1429768)
ANIMAL - WHALE,WIN850,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,130850,15,SPRING TOY,ANIMAL,,,,,,,,,JUNIOR,POINT (-114.0528773 51.0686079)
,COV106,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,150106,1,SWING,NO BREAKDOWN,,2,0,0,0,0,0,,JUNIOR,POINT (-114.059776 51.165993)
,LKV502,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,440502,15,SPRING TOY,ANIMAL,BLUE IMP,,,,,,,,JUNIOR,POINT (-114.1325579 50.9919642)
ADJUST SPATIAL AT FAC,BRI702,,CALGARY PARKS,DEVELOPER CONSTRUCTION,,INSTALLED,,15,SPRING TOY,MULTI BOUNCE,,,,,,,,,,POINT (-114.1153341 50.9051548)
,CPF003,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,,SENIOR,POINT (-113.9313771 50.9243679)
,MLR602,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,1,SWING,NO BREAKDOWN,,,,,,1,,NO,,POINT (-114.0923201 50.919678)
,CPF013,750 COPPERPOND BV SE,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,BLUE IMP LAYOUT A100332R3C3,,,,,,,,SENIOR,POINT (-113.9208365 50.9208677)
4 SEATER,MOR133,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,160133,7,TEETER TOTTER SEESAW,SPRING TEETER,LITTLE TIKES,,,,,,,,JUNIOR,POINT (-113.9246223 51.0904654)
,WLD050,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,,15,SPRING TOY,ANIMAL,PLAYWORLD,,,,,,,NO,JUNIOR,POINT (-114.1549352 51.0626754)
,COA789,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,3,CLIMBER,DOME NET OR WEB CLIMBER,BELAIR,,,,,,,NO,SENIOR,POINT (-114.1838209 51.0550514)
,VAR431,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,120431,4,STATIONARY TOY,PLAY PANEL,PARIS,,,,,,,NO,COMBINED,POINT (-114.1466594 51.0844986)
,KIL620,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,430620,1,SWING,NO BREAKDOWN,BLUE IMP,0,2,0,0,0,0,NO,SENIOR,POINT (-114.1271197 51.0288142)
,COV089,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,150089,9,MULTI PLAY COMPLEX,NO BREAKDOWN,HENDERSON,,,,,,,,SENIOR,POINT (-114.0642652 51.1700752)
METAL,CAN329,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,310329,9,MULTI PLAY COMPLEX,NO BREAKDOWN,CHILDSPACE,,,,,,,,SENIOR,POINT (-114.0905718 50.9449843)
,COA786,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,1,SWING,NO BREAKDOWN,GAMETIME,1,1,,,,,,,POINT (-114.1764891 51.0567818)
XX ACR 2,MON291,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,5,SPINNING TOY,SPINNING POLE,,,,,,,,,SENIOR,POINT (-114.1650367 51.072272)
,SIL253,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,120253,5,SPINNING TOY,SPINNING POLE,,,,,,,,,SENIOR,POINT (-114.2025479 51.1170249)
,TEM046,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,140046,1,SWING,NO BREAKDOWN,,1,1,0,0,0,0,,SENIOR,POINT (-113.944032 51.0844082)
INSTALL DT BASED ON RULES DEVELOPED 2016/05/17-SEE GIS MANUAL-INSTALL_DT ATTRIBUTES SECTION,HIL056,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,,1,SWING,NO BREAKDOWN,,1,2,1,,,,YES,COMBINED,POINT (-114.0912144 51.0578541)
,COR375,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,,7,TEETER TOTTER SEESAW,SPRING TEETER,,0,0,0,0,0,0,,JUNIOR,POINT (-113.9313904 51.1081725)
